Artist	Song Title	UK	NA
All Saints	"Never Ever"	Yes	No
Aqua	"Barbie Girl"	Yes	No
Arrested Development	"Tennessee"	No	Yes
The B-52's	"Love Shack"	Yes	No
Barenaked Ladies	"One Week"	Yes	No
Billy Ray Cyrus	"Achy Breaky Heart"	Yes	No
Boyz II Men	"Motownphilly"	No	Yes
The Cardigans	"Lovefool"	Yes	No
Chumbawamba	"Tubthumping"	No	Yes
Color Me Badd	"I Wanna Sex You Up"	No	Yes
The Cranberries	"Zombie"	Yes	Yes
Crash Test Dummies	"Mmm Mmm Mmm Mmm"	Yes	No
The Cure	"Friday I'm in Love"	Yes	No
Divinyls	"I Touch Myself"	Yes	Yes
EMF	"Unbelievable"	Yes	No
En Vogue	"Free Your Mind"	No	Yes
Extreme	"More Than Words"	No	Yes
Gin Blossoms	"Hey Jealousy"	Yes	Yes
Hootie & the Blowfish	"Only Wanna Be with You"	No	Yes
Jesus Jones	"Right Here, Right Now"	No	Yes
Len	"Steal My Sunshine"	No	Yes
Lisa Loeb	"Stay (I Missed You)"	Yes	No
M People	"Moving On Up"	Yes	No
MC Hammer	"U Can't Touch This"	Yes	Yes
Meredith Brooks	"Bitch"	Yes	No
Natalie Imbruglia	"Torn"	Yes	Yes
New Kids on the Block	"Step by Step"	Yes	Yes
Nick Cave & Kylie Minogue	"Where the Wild Roses Grow"	Yes	No
Nirvana	"Lithium"	No	Yes
Paula Abdul	"Opposites Attract"	No	Yes
Poison	"Unskinny Bop"	Yes	Yes
R.E.M.	"Everybody Hurts"	Yes	Yes
Radiohead	"Creep"	Yes	No
Roachford	"Only to Be with You"	Yes	No
Santana feat. Rob Thomas	"Smooth"	No	Yes
Savage Garden	"I Want You"	Yes	Yes
Seal	"Kiss from a Rose"	Yes	Yes
Sir Mix-a-Lot	"Baby Got Back"	Yes	Yes
Sixpence None the Richer	"Kiss Me"	No	Yes
Soundgarden	"Black Hole Sun"	No	Yes
Spice Girls	"Wannabe"	Yes	No
Spin Doctors	"Two Princes"	Yes	Yes
Stone Temple Pilots	"Plush"	No	Yes
Technotronic feat. Felly	"Pump Up the Jam"	Yes	Yes
Vanilla Ice	"Ice Ice Baby"	No	Yes
Wet Wet Wet	"Love Is All Around"	Yes	No
Wilson Phillips	"Hold On"	No	Yes
