Artist	Song Title	DE
2raumwohnung	"36grad"	Yes
Luttenberger-Klug	"Super Sommer"	Yes
Pur	"Ein graues Haar"	Yes
Beatplanet	"Dreh dich um und geh"	Yes
Madsen	"Du	schreibst Geschichte"	Yes
Revolverheld	"Generation Rock"	Yes
Christina Stürmer	"Scherbenmeer"	Yes
Maya Saban	"Hautnah"	Yes
Roger Cicero	"Zieh die Schuh aus"	Yes
Helge Schneider	"Käsebrot"	Yes
Mellow Mark	"Was geht ab mit der Liebe"	Yes
Rosenstolz	"Aus Liebe wollt ich alles wissen"	Yes
Ich + Ich	"Umarme mich"	Yes
MIA.	"Zirkus"	Yes
RZA feat. Xavier Naidoo	"Ich kenne nichts (Das so schön ist wie du)"	Yes
Jan Delay	"Klar"	Yes
Die Moulinettes	"Herr Rossi sucht das Glück"	Yes
SDP	"Der Anfang anzufangen"	Yes
Joy Denalane	"Was auch immer"	Yes
Ohrbooten	"Bewegung"	Yes
Tele	"Mario"	Yes
Juli	"Wir beide"	Yes
Oliver Pocher	"Schwarz und Weiss"	Yes
Tokio Hotel	"Schrei"	Yes
Killerpilze	"Ich kann auch ohne dich"	Yes
Pohlmann.	"Wenn jetzt Sommer wär"	Yes
Virginia Jetzt	"Mehr als das"	Yes
Kim Frank	"Lara"	Yes
Die Prinzen	"Alles nur geklaut"	Yes
Wir Sind Helden	"Soundso"	Yes
