Artist	Song Title	DE
2raumwohnung	"Wir trafen uns in einem Garten"	Yes
Annett Louisan	"Das Gefühl"	Yes
Ayman	"Mein Stern"	Yes
Buddy	"Ab in den Süden"	Yes
Christina Stürmer	"Immer an euch geglaubt"	Yes
Clueso	"Kein Bock zu geh'n"	Yes
Echt	"Weinst Du"	Yes
Die Familie	"Und Tschüss"	Yes
Franziska	"Schau mir ins Gesicht"	Yes
Glashaus	"Haltet die Welt an"	Yes
Halogenpoeten	"Die Ersten"	Yes
Hund Am Strand	"Jungen Mädchen"	Yes
Ich + Ich	"Du erinnerst mich an Liebe"	Yes
Juli	"Geile Zeit"	Yes
Juli	"Regen und Meer"	Yes
Laith Al-Deen	"Leb den Tag"	Yes
Luka Neuser	"Zeit für Helden"	Yes
Maya Saban + Cosmo Klein	"Das alles ändert nichts daran"	Yes
Ohrbooten	"An alle Ladies"	Yes
Olesoul	"Was kostet die Welt"	Yes
Revolverheld	"Freunde bleiben"	Yes
Rosenstolz	"Ich Bin Ich (Wir Sind Wir)"	Yes
Söhne Mannheims	"Und wenn ein Lied"	Yes
Tokio Hotel	"Durch den Monsun"	Yes
Die Toten Hosen	"Alles aus Liebe"	Yes
Die Toten Hosen	"Hier kommt Alex (Unplugged)"	Yes
Wir Sind Helden	"Nur ein Wort"	Yes
Wir Sind Helden	"Von hier an blind"	Yes
Xavier Naidoo	"Dieser Weg"	Yes
Yvonne Catterfeld	"Sag mir - Was meinst du?"	Yes
