Artist	Song Title	UK	AU	DE	DK	ES	FR	IT	PL	PT
4 Taste	"Sempre Que Te Vejo"	No	No	No	No	No	No	No	No	Yes
Ace of Base	"Life Is A Flower"	No	No	No	Yes	No	No	No	No	No
Adriana Partimpim	"Fico Assim Sem Você"	No	No	No	No	No	No	No	No	Yes
Akon	"Lonely"	Yes	Yes	No	No	No	Yes	Yes	Yes	No
Alejandro Sanz	"A La Primera Persona"	No	No	No	No	Yes	No	No	No	No
All Saints	"Black Coffee"	Yes	Yes	Yes	Yes	No	No	Yes	No	No
Amarguinhas	"Just Girls"	No	No	No	No	No	No	No	No	Yes
Ana Torroja	"Los Amantes"	No	No	No	No	Yes	No	No	No	No
Anaïs	"Mon Cœur Mon Amour"	No	No	No	No	No	Yes	No	No	No
André Sardet	"Foi Feitiço"	No	No	No	No	No	No	No	No	Yes
Andreas Johnson	"Glorious"	No	No	No	Yes	No	No	No	No	No
Ania	"Trudno Mi Się Przyznać"	No	No	No	No	No	No	No	Yes	No
Antonio Orozco	"Devuélveme La Vida"	No	No	No	No	Yes	No	No	No	No
Aqua	"Cartoon Heroes"	No	No	No	Yes	No	No	No	No	No
El Arrebato	"Duele"	No	No	No	No	Yes	No	No	No	No
Ashlee Simpson	"Boyfriend"	Yes	Yes	No	No	No	No	Yes	No	Yes
Avril Lavigne	"My Happy Ending"	Yes	Yes	Yes	No	No	No	Yes	No	Yes
Basshunter	"Boten Anna"	No	No	No	Yes	No	No	No	No	No
Boss AC	"Hip Hop (Sou Eu e És Tu)"	No	No	No	No	No	No	No	No	Yes
Bratisla Boys	"Stach Stach"	No	No	No	No	No	Yes	No	No	No
Britney Spears	"...Baby One More Time"	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes
Bustamante	"Devuélveme La Vida"	No	No	No	No	Yes	No	No	No	No
La Caja de Pandora	"Acuérdate Bien De Mi Cara"	No	No	No	No	Yes	No	No	No	No
El Canto del Loco	"Volverá"	No	No	No	No	Yes	No	No	No	No
Cardigans	"Erase & Rewind"	No	No	No	Yes	No	No	No	No	No
Carlos Baute	"Te Regalo"	No	No	No	No	Yes	No	No	No	No
Cascada	"Everytime We Touch"	Yes	Yes	Yes	No	No	No	Yes	Yes	No
Chenoa	"Rutinas"	No	No	No	No	Yes	No	No	No	No
Christian Walz	"Wonderchild"	No	No	No	Yes	No	No	No	No	No
Clã	"Dançar na Corda Bamba"	No	No	No	No	No	No	No	No	Yes
Corneille	"Les marchands de rêves"	No	No	No	No	No	Yes	No	No	No
Corrine Bailey Rae	"Put Your Records On"	Yes	Yes	Yes	No	No	No	Yes	Yes	Yes
Coti	"Antes Que Ver El Sol"	No	No	No	No	Yes	No	No	No	No
Daniel Powter	"Bad Day"	Yes	Yes	Yes	Yes	No	No	Yes	No	Yes
