Artist	Song Title	UK	NA	AU	DE	ES	IT	NO	SE	NL
3 Doors Down	"Kryptonite"	No	Yes	No	No	No	No	No	No	No
Aeroplanitaliani	"Canzone D'amore"	No	No	No	No	No	Yes	No	No	No
Afro-dite	"Never Let It Go"	No	No	No	No	No	No	No	Yes	No
Afterhours	"Non È Per Sempre"	No	No	No	No	No	Yes	No	No	No
A-ha	"The Sun Always Shines on T.V."	No	No	No	No	No	No	Yes	No	No
A-ha	"Take On Me"	No	Yes	No	No	No	No	No	No	No
Alex Britti	"Oggi Sono Io"	No	No	No	No	No	Yes	No	No	No
Alexia	"Da Grande"	No	No	No	No	No	Yes	No	No	No
Alicia Keys	"Fallin'"	No	Yes	No	No	No	No	No	No	No
The All-American Rejects	"Move Along"	No	Yes	No	No	No	No	No	No	No
Amaral	"Sin Tí No Soy Nada"	No	No	No	No	Yes	No	No	No	No
Amaral	"El Universo Sobre Mí"	No	No	No	No	Yes	No	No	No	No
Amistades Peligrosas	"Estoy Por Tí"	No	No	No	No	Yes	No	No	No	No
Anna Book	"ABC"	No	No	No	No	No	No	No	Yes	No
Annett Louisan	"Das Spiel"	No	No	No	Yes	No	No	No	No	No
Annie	"Heartbeat"	Yes	No	No	No	No	No	Yes	No	Yes
Arne Schau Knudsen	"Gal Av Lengsel"	No	No	No	No	No	No	Yes	No	No
El Arrebato	"Búscate Un Hombre Que Te Quiera"	No	No	No	No	Yes	No	No	No	No
El Arrebato	"Una Noche Con Arte"	No	No	No	No	Yes	No	No	No	No
Arvingarna	"Eloise"	No	No	No	No	No	No	No	Yes	No
Ashlee Simpson	"Invisible"	No	Yes	No	No	No	No	No	No	No
Ashlee Simpson	"Pieces of Me"	Yes	No	Yes	Yes	No	No	No	No	Yes
Attack	"Ooa hela natten"	No	No	No	No	No	No	No	Yes	No
Avril Lavigne	"Sk8er Boi"	Yes	Yes	Yes	Yes	No	Yes	Yes	No	Yes
Barbados	"Kom hem"	No	No	No	No	No	No	No	Yes	No
Beyoncé	"Crazy in Love"	Yes	No	Yes	Yes	No	Yes	Yes	Yes	Yes
Biagio Antonacci	"Convivendo"	No	No	No	No	No	Yes	No	No	No
Bic Runga	"Sway"	No	No	Yes	No	No	No	No	No	No
Bigbang	"Girl In Oslo"	No	No	No	No	No	No	Yes	No	No
Black Eyed Peas	"Shut Up"	Yes	No	Yes	Yes	No	Yes	No	No	Yes
Blink-182	"What's My Age Again?"	Yes	No	Yes	Yes	No	Yes	Yes	Yes	Yes
Blue October	"Hate Me"	No	Yes	No	No	No	No	No	No	No
Britney Spears	"...Baby One More Time"	No	Yes	No	No	No	No	No	No	No
Camela	"Cuando Zarpa El Amor"	No	No	No	No	Yes	No	No	No	No
Carola	"Fångad av en stormvind"	No	No	No	No	No	No	No	Yes	No
Cartel	"Honestly"	No	Yes	No	No	No	No	No	No	No
Christian Walz	"Never Be Afraid Again"	No	No	No	No	No	No	No	Yes	No
The Clash	"Should I Stay or Should I Go"	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	Yes
Cyndi Lauper	"Girls Just Wanna Have Fun"	No	Yes	No	No	No	No	No	No	No
The Dandy Warhols	"Bohemian Like You"	Yes	No	Yes	Yes	No	Yes	No	No	Yes
Daniel Lindström	"Coming True"	No	No	No	No	No	No	No	Yes	No
Daniel Powter	"Bad Day"	No	Yes	No	No	No	No	No	No	No
Darin	"Money for Nothing"	No	No	No	No	No	No	No	Yes	No
David	"Wild at Heart"	No	No	No	No	No	No	Yes	No	No
David Bisbal	"Bulería"	No	No	No	No	Yes	No	No	No	No
David Bisbal	"Camina y Ven"	No	No	No	No	Yes	No	No	No	No
Delta Goodrem	"Born to Try"	No	No	Yes	No	No	No	No	No	No
