Artist	Song Title	UK	NA	AU	DE	ES	FR	HR	NL
Amaral	"Revolución"	No	No	No	No	Yes	No	No	No
Anouk	"Girl"	No	No	No	No	No	No	No	Yes
Anouk	"Nobody's Wife"	No	No	No	No	No	No	No	Yes
Aretha Franklin	"Respect"	No	Yes	No	No	No	No	No	No
Arkol	"Vingt ans"	No	No	No	No	No	Yes	No	No
Azra	"A Šta Da Radim (live)"	No	No	No	No	No	No	Yes	No
B-52s	"Love Shack"	No	Yes	No	No	No	No	No	No
Bare i Placenici	"Put Ka Sreci"	No	No	No	No	No	No	Yes	No
Barricada	"No Hay Tregua"	No	No	No	No	Yes	No	No	No
Bénabar	"Y'a une fille qu'habite chez moi"	No	No	No	No	No	Yes	No	No
Bloc Party	"Banquet"	Yes	Yes	No	No	No	Yes	No	Yes
Blur	"Song 2"	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes
Bowling For Soup	"1985"	Yes	No	Yes	Yes	No	No	No	No
The Bravery	"An Honest Mistake"	Yes	No	No	No	No	No	Yes	No
El Canto del Loco	"Besos"	No	No	No	No	Yes	No	No	No
The Cardigans	"My Favourite Game"	Yes	No	Yes	No	No	No	Yes	Yes
Christina Stürmer	"Ich Lebe"	No	No	No	Yes	No	No	No	No
The Church	"Unguarded Moment"	No	No	Yes	No	No	No	No	No
Coldplay	"Speed of Sound"	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes
Cristina y los Subterráneos	"Voy En Un Coche"	No	No	No	No	Yes	No	No	No
The Cure	"Friday I'm in Love"	No	Yes	No	No	No	No	No	No
Ðavoli	"Stojim Na Kantunu"	No	No	No	No	No	No	Yes	No
De Kreuners	"Ik Wil Je"	No	No	No	No	No	No	No	Yes
Deep Purple	"Smoke On The Water"	Yes	No	Yes	Yes	No	No	Yes	Yes
Dionysos	"Tes lacets sont des fées"	No	No	No	No	No	Yes	No	No
Di-rect	"Adrenaline"	No	No	No	No	No	No	No	Yes
DJ Jazzy Jeff & The Fresh Prince	"Summertime"	No	Yes	No	No	No	No	No	No
Dolly	"C'est pour toi"	No	No	No	No	No	Yes	No	No
Dover	"Serenade"	No	No	No	No	Yes	No	No	No
Dragon	"April Sun In Cuba"	No	No	Yes	No	No	No	No	No
Dusty Springfield	"Son Of A Preacher Man"	No	Yes	No	No	No	No	No	No
Echt	"Du trägst keine Liebe in dir"	No	No	No	Yes	No	No	No	No
