Artist	Song Title	UK	AU	DE	ES	NL	PL	PT	DK
2 Unlimited	"No Limit"	No	No	No	No	Yes	No	No	No
2raumwohnung	"Besser Geht's Nicht"	No	No	Yes	No	No	No	No	No
Adele	"Chasing Pavements"	Yes	No	Yes	No	Yes	No	No	No
Álex Ubago	"Viajar Contigo"	No	No	No	Yes	No	No	No	No
Alphabeat	"10.000 Nights Of Thunder"	No	No	No	No	No	No	No	Yes
Alphabeat	"Fascination"	No	No	No	No	No	No	No	Yes
Amy Winehouse	"Tears Dry On Their Own"	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes
Andy y Lucas	"Son de Amores"	No	No	No	Yes	No	No	No	No
Anjos	"Eu Estou Aqui (Yo sou aquél)"	No	No	No	No	No	No	Yes	No
Antonio Orozco	"Dime Porqué"	No	No	No	Yes	No	No	No	No
Aqua	"Dr. Jones"	No	No	No	No	No	No	No	Yes
Ash	"Girl From Mars"	No	Yes	No	No	No	No	No	No
Bliglad	"Dans For Satan"	No	No	No	No	No	No	No	Yes
Bliglad	"Kærlighed Til Folket"	No	No	No	No	No	No	No	Yes
Blondie	"The Tide Is High"	Yes	Yes	No	No	Yes	Yes	No	No
Blur	"Girls & Boys"	Yes	Yes	No	Yes	No	Yes	Yes	Yes
Booty Luv	"Shine"	Yes	No	No	No	No	No	No	No
Boys	"Szalona"	No	No	No	No	No	Yes	No	No
Brathanki	"Czerwone korale"	No	No	No	No	No	Yes	No	No
Burhan G	"Who Is He?"	No	No	No	No	No	No	No	Yes
El Canto del Loco	"Zapatillas"	No	No	No	Yes	No	No	No	No
moi Caprice	"To the Lighthouse"	No	No	No	No	No	No	No	Yes
Celtas Cortos	"Cuéntame Un Cuento"	No	No	No	Yes	No	No	No	No
Chenoa	"Todo Irá Bien"	No	No	No	Yes	No	No	No	No
Chesney Hawkes	"The One And Only"	Yes	No	Yes	No	Yes	No	No	Yes
Chumbawamba	"Tubthumping"	No	No	Yes	No	No	No	No	No
Clã	"Tira A Teima"	No	No	No	No	No	No	Yes	No
Coti	"Canción de Adios"	No	No	No	Yes	No	No	No	No
Culcha Candela	"Hamma"	No	No	Yes	No	No	No	No	No
Da Weasel	"Dúia"	No	No	No	No	No	No	Yes	No
David Bowie	"Let's Dance"	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes
David de María	"Precisamente Ahora"	No	No	No	Yes	No	No	No	No
David Fonseca	"Superstars II"	No	No	No	No	No	No	Yes	No
Diana Ross	"I'm Coming Out"	Yes	Yes	Yes	No	Yes	Yes	No	Yes
Di-Rect	"Cool With You"	No	No	No	No	Yes	No	No	No
Dirty Pretty Things	"Bang Bang You're Dead"	Yes	No	No	No	No	No	No	No
Dodgy	"Good Enough"	Yes	No	Yes	Yes	No	No	Yes	No
Dolly Dots	"Radio"	No	No	No	No	Yes	No	No	No
Donna Summer	"She Works Hard for the Money"	No	No	Yes	No	No	No	No	No
Edyta Górniak	"Jestem kobieta"	No	No	No	No	No	Yes	No	No
Elton John	"I'm Still Standing"	Yes	Yes	Yes	No	Yes	Yes	No	Yes
Evermore	"Light Surrounding You"	No	Yes	No	No	No	No	No	No
Faith No More	"Easy"	No	No	Yes	No	No	No	No	No
Fito y Fitipaldis	"Me Equivocaría Otra Vez"	No	No	No	Yes	No	No	No	No
Five Star	"System Addict"	Yes	No	No	No	No	No	No	No
The Flames	"Everytime"	No	No	Yes	No	No	No	No	No
Formacja Niezywych Schabuff	"Lato"	No	No	No	No	No	Yes	No	No
Frans Bauer	"Heb Je Even Voor Mij?"	No	No	No	No	Yes	No	No	No
George Baker Selection	"Little Green Bag"	No	No	No	No	Yes	No	No	No
