Artist	Song Title	AU
The Wiggles	"Can You (Point Your Fingers And Do The Twist)"	Yes
The Wiggles	"Dr Knickerbocker"	Yes
The Wiggles	"Fruit Salad"	Yes
The Wiggles	"Get Ready to Wiggle"	Yes
The Wiggles	"Getting Strong!"	Yes
The Wiggles feat. Jamie Redfern	"Hot Poppin' Popcorn"	Yes
The Wiggles	"Hot Potato"	Yes
The Wiggles	"I'm Dorothy the Dinosaur!"	Yes
The Wiggles	"Lights, Camera, Action, Wiggles!"	Yes
The Wiggles	"Move Your Arms Like Henry"	Yes
The Wiggles	"Play Your Guitar With Murray"	Yes
The Wiggles	"Captain Feathersword Fell Asleep on His Pirate Ship (Quack Quack)"	Yes
The Wiggles	"Rock-A-Bye Your Bear"	Yes
The Wiggles	"The Monkey Dance"	Yes
The Wiggles	"The Shimmie Shake!"	Yes
The Wiggles	"To Have A Tea Party"	Yes
The Wiggles	"Toot Toot, Chugga Chugga, Big Red Car"	Yes
The Wiggles	"Twinkle, Twinkle, Little Star"	Yes
The Wiggles	"Wags the Dog Is Chasing His Tail"	Yes
The Wiggles	"Wake Up Jeff!"	Yes
